名称,简介,分类
加粗,"1、快捷键：Ctrl + B
2、解释：对指定内容加粗显示
3、Markdown：** **",富文本
斜体,"1、快捷键：Ctrl + I
2、解释：对指定内容斜体显示
3、Markdown：* *",富文本
下划线,"1、快捷键：Ctrl + U
2、解释：对指定加绒加上下划线
3、Markdown：<u> </u>",富文本
删除线,"1、快捷键：
2、解释：对指定内容加上删除线
3、Markdown：~~ ~~（notion为~ ~）",富文本
颜色,"1、快捷键：Ctrl + Shift + H （使用上一次的颜色）
2、解释：对指定内容加上颜色
3、Markdown：<font color=xxx> </font>",富文本
链接,"1、快捷键：Ctrl + K
2、解释：对指定内容加上超链接
3、Markdown：[]()",富文本
行内公式,"1、快捷键：Ctrl + Shift + E
2、解释：将指定内容转换为行内公式
3、Markdown：$ $",富文本
行内代码,"1、快捷键：Ctrl + E
2、解释：将指定内容转换为行内代码
3、Markdown：`  `",富文本
